method,split,record_type,seed,dataset_id,N_total,N_valid,MeanOverOz,delta_vs_NVP,policy45_regret_bytes,oracle_recovery,top1_oracle_hit,top5_oracle_hit,median_dataset_delta_vs_NVP,positive_dataset_count,negative_dataset_count,leave_LLVM_Stress_out_macro_delta_vs_NVP,source_artifact_path
MLP,final/OOD,dataset_macro_seed,1,,4683,4679,0.08834968217517572,0.0005378468071043918,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
MLP,final/OOD,dataset_macro_seed,2,,4683,4679,0.07730599476772516,-0.010220964515586628,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
MLP,final/OOD,dataset_macro_seed,3,,4683,4679,0.08032768571564097,-0.0057975958424515694,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
MLP,final/OOD,dataset_3seed,,anghabench-v1,1000,999,0.03606330392580214,-0.0008607413533469471,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
MLP,final/OOD,dataset_3seed,,blas-v0,29,29,0.006020300578368193,-0.005326770374247813,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
MLP,final/OOD,dataset_3seed,,cbench-v1,11,11,0.18791116026176244,-7.835534467495742e-05,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
MLP,final/OOD,dataset_3seed,,chstone-v0,12,12,0.09585451988533732,0.003714561535525962,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
MLP,final/OOD,dataset_3seed,,clgen-v0,150,150,0.10051222439552414,-0.0005840879933166898,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
MLP,final/OOD,dataset_3seed,,csmith-v0,48,48,0.18845776729085742,-0.06994025097884662,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
MLP,final/OOD,dataset_3seed,,github-v0,1000,1000,0.006301702929638767,-0.0009022442085284731,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
MLP,final/OOD,dataset_3seed,,linux-v0,1000,1000,0.0016434810756797635,-0.0013984544220411587,,,,,,,,,outputs/route_a_final_objecttext_v6/comparison_report.json
