replicate,pa_dataset_macro_mean_over_oz,nvp_dataset_macro_mean_over_oz,paired_dataset_macro_delta
130,0.0855555596452864,0.08460150274020564,0.0009540569050807551
131,0.0939388650319965,0.09325375227130486,0.0006851127606916363
132,0.08604680825845687,0.08266087839921321,0.003385929859243658
133,0.09924289419706273,0.09751933034491683,0.001723563852145893
134,0.08283297345256464,0.08252932324108456,0.000303650211480086
135,0.08957183869953789,0.08959748971657493,-2.565101703703998e-05
136,0.0928886941264045,0.09057769387697429,0.00231100024943022
137,0.10341395196053162,0.10201130480024793,0.001402647160283682
138,0.08356960203001346,0.08412139351714279,-0.0005517914871293328
139,0.07720582267494894,0.07501153603600072,0.0021942866389482174
140,0.08284040549144785,0.08207751038832731,0.0007628951031205394
141,0.08360226594216284,0.08091444458534183,0.00268782135682101
142,0.09052466562887819,0.087037833235952,0.003486832392926187
143,0.0833008479024498,0.0859926176128208,-0.0026917697103709948
144,0.0977157536222132,0.09793418719158636,-0.00021843356937316372
145,0.08297481104061025,0.08529113011660028,-0.002316319075990031
146,0.09517084261452008,0.0954411764729103,-0.0002703338583902176
147,0.09562048280319962,0.09560328081654337,1.7201986656251167e-05
148,0.08555506567356867,0.08172905820941659,0.003826007464152084
149,0.08783581497999635,0.08537395570567818,0.002461859274318162
150,0.09672164955534406,0.09289869415849654,0.003822955396847516
151,0.08215954204416404,0.08140470419892883,0.0007548378452352095
152,0.09956857139567042,0.09349594666564903,0.006072624730021389
153,0.08558711924868136,0.08661905063024139,-0.0010319313815600334
154,0.08690139070195219,0.08605919197892337,0.0008421987230288197
155,0.08458840004518506,0.0816616928601822,0.002926707185002861
156,0.08952780404473114,0.0873057020765704,0.0022221019681607362
157,0.09732471015569392,0.09416156278804494,0.0031631473676489857
158,0.07969830832567727,0.07958027973638508,0.00011802858929219062
159,0.09132019194228544,0.08688700799197344,0.004433183950312003
160,0.0969277899101453,0.0948830143080882,0.002044775602057111
161,0.09028754560085951,0.08726047719623567,0.003027068404623842
162,0.09632696426909708,0.09117551657579143,0.0051514476933056524
163,0.08743935395742486,0.08594838738123037,0.0014909665761944912
164,0.09067465523576859,0.0908300408138127,-0.00015538557804410658
165,0.09405424327132542,0.09371695993092989,0.000337283340395525
166,0.09155676093032396,0.0873483661569193,0.004208394773404664
167,0.08919588566217883,0.08824576878185147,0.0009501168803273535
